CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
A00034,停好停滿停車場中華國小站,41,1,0,0,39,2
A00045,國富二十二街停車場,23,9,0,0,1,254
A00014,TIMES 三民街,125,7,0,0,3,255
A00044,停好車停車場,186,10,0,0,3,4
A00026,前站停車場,46,7,0,0,1,255
A00028,遠雄海洋公園(股)公司,747,1,0,0,689,254
A00049,花蓮市公園三民站,56,11,0,1,5,254
A00038,花蓮民德一停車場,38,9,0,0,1,1
A00047,168停車聯盟花蓮東大門場,413,9,0,0,8,4
A00009,遠東百貨股份有限公司花蓮和平分公司,358,7,0,0,10,254
A00040,花蓮文化創意產業園區停車場,58,5,0,0,6,1
A00030,吉安仁里立體停車場,217,7,0,0,5,254
A00080,鉄道商圈停車場,26,1,0,0,21,2
A00019,新康停車場,16,9,0,0,1,255
A00011,新港街停車場,27,9,0,0,1,254
A00042,臺灣基督教門諾會醫療財團法人門諾醫院收費停車場,235,9,0,0,3,254
A00013,明禮路停車場,106,7,0,0,2,254
A00025,彪吉利停車場(國聯五路站),40,7,0,0,1,254
A00073,好樂停HAPPY PARKING-中山停車場,54,1,0,0,54,4
A00007,花蓮航空站計時收費停車場,347,7,0,0,8,254
A00046,國盛四街停車場,11,1,0,0,10,4
A00036,統冠重慶店停車場,49,1,0,0,47,2
A00068,花蓮富國停車場,15,1,0,0,15,2
A00076,好樂停 HAPPY PARKING-中央停車場,502,1,0,0,204,4
A00015,WORLD GYM世界健身俱樂部停車場,66,7,0,0,2,254
A00039,花蓮民德二停車場,21,1,0,0,19,254
A00071,花蓮中山停車場,43,1,0,0,43,2
A00070,吉安站前停車場,55,7,0,0,1,254
A00016,P&P停車場,62,1,0,0,61,5
A00035,林森停車場,20,9,0,0,1,4
A00059,花蓮中山路停車場,8,9,0,0,1,254
A00050,國富二街停車場,7,9,0,0,1,254
A00065,花蓮文化創意產業園區停車場,52,7,0,0,2,4
A00043,中山明智停車場,53,9,0,0,2,4
A00021,花蓮壽豐車站停車場,74,1,0,0,72,4
A00017,台灣國際開發事業有限公司花蓮醫院停車場,50,9,0,0,2,254
A00001,彪吉利(花蓮停三)汽(紅黃牌重機)車停車場,93,10,0,0,3,254
