CarParkID,CarParkName_Zh_tw,TotalSpaces,AvailableSpaces,Availabilities_SpaceType,Availabilities_NumberOfSpaces,Availabilities_AvailableSpaces,ServiceStatus,FullStatus,ChargeStatus,DataCollectTime
AO030005,龜山文德公園,37,11,1,37,11,1,0,1,2023-11-19T20:38:00+08:00
AO030006,善捷段停車場,113,29,1,113,29,1,0,1,2023-11-19T20:38:00+08:00
AO030008,龜山龍華停車場,23,6,1,23,6,1,0,1,2023-11-19T20:38:00+08:00
AO030009,龜山建國一村停車場,259,0,1,259,0,1,3,1,2023-11-19T20:38:00+08:00
AO030004,市十三停車場,133,31,1,133,31,1,0,1,2023-11-19T20:38:00+08:00
AO0300017,A7體育大學站停車場,40,29,1,40,29,1,0,1,2023-11-19T20:32:00+08:00
AO020009,廣停一停車場停車場,77,29,1,77,29,1,0,1,2023-11-19T20:38:00+08:00
AO020008,銀河廣場地下停車場,145,22,1,145,22,1,1,1,2023-11-19T20:38:00+08:00
AO020028,中央地下停車場,299,0,1,299,0,1,3,1,2023-11-19T20:38:00+08:00
AO020017,延平立體停車場,201,105,1,201,105,1,0,1,2023-11-19T20:38:00+08:00
AO020019,中原國小地下停車場,423,0,1,423,0,1,3,1,2023-11-19T20:38:00+08:00
AO020005,中壢內壢站,49,23,1,49,23,1,0,1,2023-11-19T20:38:00+08:00
AO020007,中壢自強立體停車場,265,81,1,265,81,1,0,1,2023-11-19T20:38:00+08:00
AO020010,坤慶公園地下停車場,32,16,1,32,16,1,0,1,2023-11-19T20:38:00+08:00
AO020011,南園停車場,60,27,1,60,27,1,0,1,2023-11-19T20:38:00+08:00
AO020030,中壢青雲停車場,106,61,1,106,61,1,0,1,2023-11-19T20:38:00+08:00
AO020031,中壢青商停車場,48,34,1,48,34,1,0,1,2023-11-19T20:38:00+08:00
AO020032,中壢青松停車場,42,22,1,42,22,1,0,1,2023-11-19T20:38:00+08:00
AO020036,文化公園停車場,329,261,1,329,261,1,0,1,2023-11-19T20:38:00+08:00
AO020002,中壢復興站,66,34,1,66,34,1,0,1,2023-11-19T20:38:00+08:00
AO020003,中壢忠孝站,92,43,1,92,43,1,0,1,2023-11-19T20:38:00+08:00
AO020004,中壢復華站,46,11,1,46,11,1,0,1,2023-11-19T20:38:00+08:00
AO020025,新明國小地下停車場,272,128,1,272,128,1,0,1,2023-11-19T20:38:00+08:00
AO020020,中鑄停車場,26,4,1,26,4,1,1,1,2023-11-19T20:38:00+08:00
AO020021,興仁公園停車場,131,0,1,131,0,1,3,1,2023-11-19T20:38:00+08:00
AO020039,中壢石頭段停車場,79,5,1,79,5,1,1,1,2023-11-19T20:38:00+08:00
AO020012,正光二街停車場,27,12,1,27,12,1,0,1,2023-11-19T20:38:00+08:00
AO020013,青昇停車場,77,57,1,77,57,1,0,1,2023-11-19T20:38:00+08:00
AO020014,站前東停車場,73,65,1,73,65,1,0,1,2023-11-19T20:38:00+08:00
AO020013,站前西停車場,90,75,1,90,75,1,0,1,2023-11-19T20:38:00+08:00
AO020029,文康公有停車場,115,114,1,115,114,1,0,1,2023-11-19T20:38:00+08:00
AO020022,龍岡停車場,168,132,1,168,132,1,0,1,2023-11-19T20:38:00+08:00
AO020023,台貿停車場,86,83,1,86,83,1,0,1,2023-11-19T20:38:00+08:00
AO020024,龍平停車場,91,9,1,91,9,1,1,1,2023-11-19T20:38:00+08:00
AO020026,雙嶺停車場,116,29,1,116,29,1,0,1,2023-11-19T20:38:00+08:00
AO020037,中壢殯葬園區停車場,180,50,1,180,50,1,0,1,2023-11-19T20:38:00+08:00
AO0200001,新明市場停車場,79,25,1,79,25,1,0,1,2023-11-19T20:38:00+08:00
AO020027,永發停車場,131,92,1,131,92,1,0,1,2023-11-19T20:38:00+08:00
AO0200002,中壢藝術館地下停車場,48,26,1,48,26,1,0,1,2023-11-19T20:38:00+08:00
AO0200004,置地廣場桃園A區,586,491,1,586,491,1,0,1,2023-11-19T20:38:00+08:00
AO0200003,華泰名品城,2333,1578,1,2333,1578,1,0,1,2023-11-19T20:38:00+08:00
AO0200064,A19桃園體育園區站,48,28,1,48,28,1,0,1,2023-11-19T20:36:00+08:00
AO040001,南崁公一地下停車場,567,571,1,567,571,1,0,1,2023-11-19T20:38:00+08:00
AO040003,南榮地下停車場,77,6,1,77,6,1,1,1,2023-11-19T20:38:00+08:00
AO040002,五福地下停車場,124,4,1,124,4,1,2,1,2023-11-19T20:38:00+08:00
AO040004,大新平面停車場,28,0,1,28,0,1,3,1,2023-11-19T20:38:00+08:00
AO040005,大竹圍平面停車場,17,6,1,17,6,1,0,1,2023-11-19T20:38:00+08:00
AO040007,南崁廣停二平面停車場,17,6,1,17,6,1,0,1,2023-11-19T20:38:00+08:00
AO050001,龍潭東龍停車場,95,71,1,95,71,1,0,1,2023-11-19T20:38:00+08:00
AO050002,龍潭運動公園平面停車場,56,22,1,56,22,1,0,1,2023-11-19T20:38:00+08:00
AO050004,龍潭舊鄉代會停車場,24,20,1,24,20,1,0,1,2023-11-19T20:38:00+08:00
AO060003,廣北平面停車場,119,55,1,119,55,1,0,1,2023-11-19T20:38:00+08:00
AO060002,廣南平面停車場,80,30,1,80,30,1,0,1,2023-11-19T20:38:00+08:00
AO060006,新榮平面停車場,36,16,1,36,16,1,0,1,2023-11-19T20:38:00+08:00
AO060004,上海平面停車場,55,19,1,55,19,1,0,1,2023-11-19T20:38:00+08:00
AO060008,坤慶平面停車場,86,31,1,86,31,1,0,1,2023-11-19T20:38:00+08:00
AO060007,大興平面停車場,27,7,1,27,7,1,0,1,2023-11-19T20:38:00+08:00
AO060005,大連平面停車場,88,25,1,88,25,1,0,1,2023-11-19T20:38:00+08:00
AO060012,1895乙未保臺紀念公園地下停車場,180,32,1,180,32,1,1,1,2023-11-19T20:38:00+08:00
AO060001,貿東停車場,31,26,1,31,26,1,0,1,2023-11-19T20:38:00+08:00
AO0600001,全聯平鎮新富店停車場,215,45,1,215,45,1,0,1,2023-11-19T20:38:00+08:00
AO0600002,華安公園停車場,48,22,1,48,22,1,0,1,2023-11-19T20:38:00+08:00
AO0600003,長沙公有停車場,44,28,1,44,28,1,0,1,2023-11-19T20:38:00+08:00
AO0600019,平鎮區文化公園地下停車場,232,54,1,232,54,1,0,1,2023-11-19T20:38:00+08:00
AO110001,新屋區停一立體停車場,160,71,1,160,71,1,0,1,2023-11-19T20:38:00+08:00
AO010025,桃園市公有府前地下停車場,334,223,1,334,223,1,0,1,2023-11-19T20:38:00+08:00
AO010001,西門地下停車場,548,102,1,548,102,1,1,1,2023-11-19T20:38:00+08:00
AO0100001,桃園市立圖書館總館,401,252,1,401,252,1,0,1,2023-11-19T20:31:00+08:00
AO010017,藝文園區地下停車場,517,248,1,517,248,1,0,1,2023-11-19T20:38:00+08:00
AO010012,朝陽公園停車場,45,21,1,45,21,1,0,1,2023-11-19T20:38:00+08:00
AO010014,三民公園停車場,61,0,1,61,0,1,3,1,2023-11-19T20:38:00+08:00
AO010011,陽明公園停車場,64,17,1,64,17,1,0,1,2023-11-19T20:38:00+08:00
AO010016,桃園新站停車場,38,19,1,38,19,1,0,1,2023-11-19T20:38:00+08:00
AO010015,宏昌六街停車場,72,27,1,72,27,1,0,1,2023-11-19T20:38:00+08:00
AO010031,南門公園地下停車場,345,226,1,345,226,1,0,1,2023-11-19T20:38:00+08:00
AO0100002,桃園展演中心地下停車場,87,43,1,87,43,1,0,1,2023-11-19T20:38:00+08:00
AO010019,文小二停車場,483,222,1,483,222,1,0,1,2023-11-19T20:38:00+08:00
AO010020,假日花市停車場,80,71,1,80,71,1,0,1,2023-11-19T20:38:00+08:00
AO010021,殯葬園區停車場,238,212,1,238,212,1,0,1,2023-11-19T20:38:00+08:00
AO010022,孔廟停車場,95,82,1,95,82,1,0,1,2023-11-19T20:38:00+08:00
AO010023,虎頭山停車場,173,0,1,173,0,1,3,1,2023-11-19T20:38:00+08:00
AO010033,文昌公園地下停車場,317,53,1,317,53,1,1,1,2023-11-19T20:38:00+08:00
AO0100003,中路二號基地社會住宅地下停車場,170,205,1,170,205,1,0,1,2023-11-19T20:38:00+08:00
AO010002,小檜溪停車場,125,52,1,125,52,1,0,1,2023-11-19T20:38:00+08:00
AO010003,水汴頭平面停車場,119,99,1,119,99,1,0,1,2023-11-19T20:38:00+08:00
AO010004,建國停車場,113,39,1,113,39,1,0,1,2023-11-19T20:38:00+08:00
AO010005,青溪停車場,58,22,1,58,22,1,0,1,2023-11-19T20:38:00+08:00
AO010006,龍安一停車場,17,9,1,17,9,1,0,1,2023-11-19T20:38:00+08:00
AO010007,龍安二停車場,20,13,1,20,13,1,0,1,2023-11-19T20:34:00+08:00
AO010008,三聖停車場,31,27,1,31,27,1,0,1,2023-11-19T20:34:00+08:00
AO010009,吉安停車場,55,26,1,55,26,1,0,1,2023-11-19T20:34:00+08:00
AO010032,新永和停車場,557,405,1,557,405,1,0,1,2023-11-19T20:37:00+08:00
AO010027,中路停一停車場,65,0,1,65,0,1,3,1,2023-11-19T20:38:00+08:00
AO010028,中路停三停車場,57,0,1,57,0,1,3,1,2023-11-19T20:38:00+08:00
AO010030,中路停六停車場,82,7,1,82,7,1,1,1,2023-11-19T20:38:00+08:00
AO0100006,衛生福利部桃園醫院停車場,151,919,1,151,919,1,0,1,2023-11-19T20:38:00+08:00
AO0100008,中路一號停車場,102,38,1,102,38,1,0,1,2023-11-19T20:38:00+08:00
AO010036,桃園區大有立體暨殯葬園區平面公有停車場,413,146,1,413,146,1,0,1,2023-11-19T20:38:00+08:00
AO0100009,守法路平面停車場,56,21,1,56,21,1,0,1,2023-11-19T20:38:00+08:00
AO0100010,中路力行平面停車場,89,62,1,89,62,1,0,1,2023-11-19T20:38:00+08:00
AO010038,武陵高中地下停車場,166,151,1,166,151,1,0,1,2023-11-19T20:38:00+08:00
AO080006,大模停車場,42,0,1,42,0,1,3,1,2023-11-19T20:38:00+08:00
AO080014,埔心車站後站停車場,53,0,1,53,0,1,3,1,2023-11-19T20:38:00+08:00
AO080011,瑞溪停車場,100,1,1,100,1,1,2,1,2023-11-19T20:38:00+08:00
AO080012,三元停車場,44,12,1,44,12,1,0,1,2023-11-19T20:38:00+08:00
AO080001,新成立體停車場,83,0,1,83,0,1,3,1,2023-11-19T20:38:00+08:00
AO080004,梅高停車場,77,25,1,77,25,1,0,1,2023-11-19T20:38:00+08:00
AO080007,民族公園停車場,51,26,1,51,26,1,0,1,2023-11-19T20:38:00+08:00
26,羅東立體停車場,245,172,1,245,172,1,0,1,2023-11-19T20:40:11+08:00
27,宜蘭縣羅東鎮南門地下停車場,500,281,1,500,281,1,0,1,2023-11-19T20:40:11+08:00
28,宜蘭縣羅東鎮民生大樓停車場,275,122,1,275,122,1,0,1,2023-11-19T20:40:11+08:00
58,礁溪轉運站停車場,57,48,1,57,48,1,0,1,2023-11-19T20:40:11+08:00
29,羅東鎮公共造產停車場(公所前停車場),61,16,1,61,16,1,0,1,2023-11-19T20:40:11+08:00
30,羅東鎮公共造產停車場(公所前廣停停車場),34,11,1,34,11,1,0,1,2023-11-19T20:40:11+08:00
31,羅東公正國小地下停車場,351,164,1,351,164,1,0,1,2023-11-19T20:40:11+08:00
33,羅東停一停車場,66,28,1,66,28,1,0,1,2023-11-19T20:40:11+08:00
34,羅東停三停車場,75,16,1,75,16,1,0,1,2023-11-19T20:40:11+08:00
35,公正平面停車場,45,7,1,45,7,1,0,1,2023-11-19T20:40:11+08:00
36,北成國小停車場,72,66,1,72,66,1,0,1,2023-11-19T20:40:11+08:00
37,宜蘭縣政府文化局羅東文化工場停車場,107,55,1,107,55,1,0,1,2023-11-19T20:40:11+08:00
38,倉前停車場,121,57,1,121,57,1,0,1,2023-11-19T20:40:11+08:00
53,礁溪鄉公共造產地景廣場停車場,47,29,1,47,29,1,0,1,2023-11-19T20:40:11+08:00
54,礁溪鄉公共造產水景廣場停車場,42,13,1,42,13,1,0,1,2023-11-19T20:40:11+08:00
55,臺鐵礁溪站前停車場,67,54,1,67,54,1,0,1,2023-11-19T20:40:11+08:00
56,礁溪鄉公有立體停車場,253,142,1,253,142,1,0,1,2023-11-19T20:40:11+08:00
57,盱江新村停車場,46,21,1,46,21,1,0,1,2023-11-19T20:40:11+08:00
59,礁溪停車場,40,12,1,40,12,1,0,1,2023-11-19T20:40:11+08:00
32,羅東林業文化園區南停車場,66,7,1,66,7,1,0,1,2023-11-19T20:40:11+08:00
1,國立宜蘭大學停車場,400,181,1,400,181,1,0,1,2023-11-19T20:40:11+08:00
48,豆腐岬風景區停車場,47,47,1,47,47,1,0,1,2023-11-19T20:40:11+08:00
76,嘟嘟房宜蘭中山公園站,92,80,1,92,80,1,0,1,2023-11-19T20:40:11+08:00
140,宏達經營管理顧問有限公司梅花湖停車場,209,209,1,209,209,1,0,1,2023-11-19T20:40:11+08:00
8,和睦停車場,159,159,1,159,159,1,0,1,2023-11-19T20:40:11+08:00
104,宜蘭宜興（停一）停車場,52,51,1,52,51,1,0,1,2023-11-19T20:40:11+08:00
11,宜蘭林森（停五）停車場,112,112,1,112,112,1,0,1,2023-11-19T20:40:11+08:00
12,宜蘭轉運站停車場,169,134,1,169,134,1,0,1,2023-11-19T20:40:11+08:00
17,宜蘭新月停車場,277,166,1,277,166,1,0,1,2023-11-19T20:40:11+08:00
19,宜蘭新月站停車場,93,0,1,93,0,1,2,1,2023-11-19T20:40:11+08:00
22,國立陽明交通大學附設醫院蘭陽院區停車場,554,554,1,554,554,1,0,1,2023-11-19T20:40:11+08:00
25,宜蘭幸福（停六）停車場,95,7,1,95,7,1,0,1,2023-11-19T20:40:11+08:00
52,頭城鎮大溪漁港停車場,163,135,1,163,135,1,0,1,2023-11-19T20:40:11+08:00
50,蘭陽博物館停車場,145,0,1,145,0,1,2,1,2023-11-19T20:40:11+08:00
61,五峰旗停車場,166,0,1,166,0,1,2,1,2023-11-19T20:40:11+08:00
60,龍潭湖風景區停車場,119,0,1,119,0,1,2,1,2023-11-19T20:40:11+08:00
64,中興文化創意產業園區停車場,61,0,1,61,0,1,2,1,2023-11-19T20:40:11+08:00
70,冬山河生態綠舟停車場,120,120,1,120,120,1,0,1,2023-11-19T20:40:11+08:00
108,嘟嘟房宜蘭傳藝中心站停車場,746,650,1,746,650,1,0,1,2023-11-19T20:40:11+08:00
146,羅東國中平面停車場,80,35,1,80,35,1,0,1,2023-11-19T20:40:11+08:00
185,TIMES宜蘭中華路停車場,38,18,1,38,18,1,0,1,2023-11-19T20:40:11+08:00
