CarParkID,CarParkName_Zh_tw,Description,HourlyRates
11006,西市場大樓停車場,平面式小型停車場201格(含婦幼停車位6格、身心障礙車位3格),"[{'RateName': '20元/1hr', 'RateDescription': '20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10909A,市府前廣場停車場,平面式小型停車場261格(含婦幼停車位6格、身心障礙車位7格),"[{'RateName': '市府前廣場停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10817,停10(蘭停七)停車場,平面式小型停車場36格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '停10(蘭停七)停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10504,文化公園(停6)停車場,平面式小型停車場151格(含婦幼停車位3格、身心障礙車位3格),"[{'RateName': '20元/1hr', 'RateDescription': '20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10904,德安停車場,平面式小型停車場67格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '1小時20元', 'RateDescription': '1小時20元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10904east,新生路停車場民國站,平面式小型停車場411格,"[{'RateName': '平日', 'RateDescription': '平日：10元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 10, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'ServiceTag': '平日', 'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日：20元/4hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 240, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
11017,金財神停車場,平面式小型停車場104格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '平日', 'RateDescription': '平日1小時40元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 40, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日1小時50元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 50, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10902east,檜村里(機6)停車場,平面式小型停車場134格,"[{'RateName': '小客車', 'RateDescription': '小客車：20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10818,嘉義延平停車場,平面式小型停車場120格(含婦幼停車位3格、身心障礙車位3格),"[{'RateName': '計時', 'RateDescription': '第一小時60元，爾後每增加半小時加收30元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 60, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10810,北港路(停9)停車場,平面式小型停車場39格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '北港路(停9)停車場', 'RateDescription': '平面式小型停車場39格(含婦幼停車位1格、身心障礙車位1格)', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
