CarParkID,CarParkName_Zh_tw,EntranceExitType,EntranceExits_EntranceExitName_Zh_tw,EntranceExits_Position_PositionLat,EntranceExits_Position_PositionLon,EntranceExits_Type,EntranceExits_MaxAllowedHeight,EntranceExits_RoadID,EntranceExits_RoadName,EntranceExits_LinkID,EntranceExits_Bearing
P13,嘟嘟房嘉義大同站,1,大同路出入口,23.46123,120.2448,1,,,大同路,,W
Puzi03,廣停三停車場,1,海通路,23.46356,120.23336,2,,,縣157,,E
DL02,大林後火車站公有免費停車場(停二),2,,,,,,,,,
P10,嘉義長庚醫院停車場（綜合醫學大樓）,2,,,,,,,,,
XT01,新港停一立體停車場,1,文昌街出入口,23.55423,120.34821,1,,,文昌街,,E
P06,布袋港旅客服務中心停車場,1,布袋港旅客服務中心停車場出入口,23.37789,120.1399,1,,,null,,S
Puzi06,廣停四停車場,1,四維路一段,23.46619,120.25156,254,,,四維路,,SW
CYHG05,快捷停車場,1,保鐵三路出入口,23.45749,120.32546,3,,670385Q,保鐵三路,6703850000020Q,N
0001CYHG,朴子醫院停車場,1,海通路出入口,23.46403,120.23493,1,,,null,,N
P02,強展金世界停車場,1,長安街出入口,23.51451,120.4416,3,,,無名,,S
P21,快樂停車場,1,平和街出入口,23.60157,120.45604,2,,,平和街,,NE
ZPFA01,中埔鄉農會停車場,1,阿里山公路出入口,23.4464,120.49377,3,,,台18,,SE
MS0001,梅山公園停車場,1,環南路出入口,23.57799,120.55856,2,,670604Q,環南路,6706040300000Q,SE
CYHG03,府前地下停車場,2,,,,,,,,,
Puzi05,廣停八停車場,1,文明路,23.47003,120.2473,2,,670179Q,文明路,6701790700010Q,W
P01,強展嘉大民雄校區停車場,1,出入口,23.54213,120.4231,1,,,無名,,W
P09,嘉義長庚醫院停車場（醫學大樓）,1,嘉義長庚醫院停車場（醫學大樓）出入口,23.46608,120.2847,1,,670619Q,長庚一路,6706190600000Q,W
P15,嘟嘟房高鐵嘉義站,3,高鐵西路出入口(P2),23.45831,120.32341,3,,670440Q,高鐵西路,6704400400020Q,S
Puzi04,廣停五停車場,1,海通路,23.46364,120.237,2,,670429Q,海通路,6704290200010Q,E
BD02,公有免費停車場（布袋文創對面停車場）,1,中正路出入口,23.38198,120.1554,2,,670104Q,中正路,6701040000000Q,N
Puzi02,廣停六停車場,1,四維路二段,23.45939,120.2364,2,,,四維路,,S
MS0002,雲梯接駁停車場,1,中學路出入口,23.5756,120.5601,2,,670121Q,中學路,6701210400000Q,S
Puzi07,嘉義縣朴子市第一公有零售市場地下室停車場,1,開元路,23.46614,120.2435,254,,,開元路,,NE
Cyhg01,公有免費停車場（仁和二路、小槺榔三路）,1,仁和二路出入口,23.4678,120.2809,2,,670136Q,仁和二路,6701360600010Q,W
P08,布袋港第三停車場,1,布袋港第三停車場出入口,23.37936,120.1419,1,,,無名,,N
HSZ_NI,牛埔地下停車場,1,牛埔停車場入口,24.79738,120.94263,1,,661074O,牛埔路,6610740200010O,NE
AG,東大陸橋停車場-中華站,1,中華路路口,24.80426,120.97503,1,,,中華路,,SW
HSZ_NA,南門機械停車場,1,中華路二段,24.79998,120.9687,3,,,中華路,,NE
HSZ_CH,赤土崎地下停車場,1,赤土崎二街出入口 ,24.79909,120.99377,3,200,,無名,,S
57,火車站後站(一、二、三、四)汽車停車場,3,汽車四:東大路一段21巷,24.80221,120.97549,1,,,東大路,,SE
AB,新科國中地下停車場 ,1,光復路一段89巷出口、光復路一段89巷入口,24.77954,121.02464,3,210,,光復路,,S
HSZ_MP,明湖公園平面停車場,1,明湖路775巷出口、明湖路775巷入口,24.77452,120.96803,3,,,明湖路,,E
AA,頂竹圍地下停車場,1,竹蓮街,24.79745,120.9719,1,,,竹蓮街,,SE
AD,生命園區第一停車場,1,成德路132號,24.82396,120.9456,1,,,吉羊路,,N
A5,稅務大樓地下停車場,1,中央路出口、中央路入口,24.80623,120.9699,3,200,,中央路,,SW
HSZ_ZO,動物園地下停車場,2,,,,,,,,,
HSZ_QL,青草湖立體停車場,1,明湖路1075巷出口、明湖路1075巷入口,24.77384,120.97008,3,200,,明湖路,,SE
HSZ_LA,勞山新村機車停車場,1,南大路140巷,24.80143,120.97547,1,,,南大路,,NW
HSZ_RA,後站機車第二停車場,1,南大路218巷,24.80032,120.97323,1,,,南大路,,NW
AH,東大陸橋停車場-中央站,2,,,,,,,,,
HSZ_FU,府後地下停車場,1,府後停車場入口,24.80717,120.96996,1,,,府後街,,NW
HSZ_ML,明志書院停車場,2,,,,,,,,,
96,延平停車場,1,延平路一段出口、延平路一段入口,24.80425,120.95723,1,,661151O,延平路,6611510600050O,W
HSZ_MN,南大路機車停車場,1,南大路,24.80039,120.97421,1,,661253O,南大路,6612530500020O,SW
HSZ_MI,民富機械停車場,1,少年街49巷,24.80646,120.95959,3,,,少年街,,NE
HSZ_NO,北區行政大樓地下停車場,1,北區行政大樓停車場出入口,24.81635,120.9703,1,180,,國華街,,S
AI,竹光國民運動中心地下2樓及3樓停車場,1,竹光街路口,24.8077,120.95365,1,,,竹光路,,NE
ZH,中正市場停車場,1,中正路,24.82396,120.9456,1,,661026O,中正路,6610260700050O,NW
44,停七停車場,1,西大路出口、西大路入口,24.79524,120.97187,1,,661132O,西大路,6611320700080O,NW
A00031, 東芥東大門停車場,1,重慶路出入口,23.97289,121.6097,1,,,重慶路,,NE
A00017,台灣國際開發事業有限公司花蓮醫院停車場,1,花蓮醫院停車場,23.97948,121.6112,1,280,,中正路,,SW
A00024,停佳安(花蓮停四)機車停車場,1,(停四)停車場出入口,23.99226,121.60194,1,,,無名,,SW
A00067,市八十三街停車場,1,國富十三街出入口,23.99072,121.59659,1,,,國富十三街,,SW
A00050,國富二街停車場,1,花蓮市國富二街,23.99083,121.59408,1,,,國富二街,,NW
A00079,城中大樓停車場,1,城中大樓停車場入口,23.9853,121.60579,3,,,無名,,NE
A00009,遠東百貨股份有限公司花蓮和平分公司,1,建林街,23.97912,121.59876,1,200,,建林街,,NE
A00072,好樂停 HAPPY PARKING–忠孝停車場,2,,,,,,,,,
A00018,彪吉利停場車(國民段469號),1,停車場出入口,23.99566,121.6041,1,,,國興一街,,SW
A00040,花蓮文化創意產業園區停車場,1,明義街出入口,23.97774,121.6044,1,,,明義街,,SE
A00013,明禮路停車場,1,明禮路出入口,23.9787,121.61098,1,,,明禮路,,NW
A00007,花蓮航空站計時收費停車場,1,機場右方汽車入口,24.02544,121.61276,2,,,無名,,SE
A00034,停好停滿停車場中華國小站,2,,,,,,,,,
A00021,花蓮壽豐車站停車場,1,壽豐車站北側高架,23.86902,121.5106,1,,,無名,,NE
A00002,永發停車場-東洋站,2,,,,,,,,,
A00039,花蓮民德二停車場,1,民權路出入口,23.98346,121.62199,1,,,民權路,,NE
A00047,168停車聯盟花蓮東大門場,1,五權街出入口,23.97284,121.6131,1,,,五權街,,SE
A00026,前站停車場,1,(前站)國聯一路,23.99347,121.60331,1,,,國民八街,,SE
A00028,遠雄海洋公園(股)公司,1,台11線上,23.84551,121.5353,1,,,台11,,S
A00066,花蓮國聯停車場,1,國聯五路出入口,23.99696,121.6073,1,,,國聯五路,,S
A00030,吉安仁里立體停車場,1,東里一街出入口,23.96582,121.59263,1,,,東里一街,,NE
A00035,林森停車場,1,林森路出入口,23.97747,121.59945,3,,679689U,林森路,6796890500030U,SW
A00068,花蓮富國停車場,1,國聯一路出入口,23.99409,121.6044,254,,,國聯一路,,E
A00049,花蓮市公園三民站,2,,,,,,,,,
A00038,花蓮民德一停車場,1,民德四街出入口,23.98349,121.62111,1,,,民德四街,,SW
A00048,博客停車場寶雅吉安場,1,博客停車場出入口,23.97269,121.5797,1,,,中山路,,SE
A00046,國盛四街停車場,1,國盛四街出入口,23.9943,121.6078,1,,,國盛四街,,N
A00076,好樂停 HAPPY PARKING-中央停車場,1,中央路三段入口,23.99453,121.59356,1,,,無名,,SE
A00070,吉安站前停車場,1,南昌北路85號右側,23.96851,121.58294,1,,,無名,,SE
A00025,彪吉利停車場(國聯五路站),1,停車場出入口,23.99233,121.60512,1,,679924U,國聯五路,6799240000010U,N
A00078,TIMES 花蓮延平街,1,延平街,23.98437,121.60271,1,,,延平街,,W
A00001,彪吉利(花蓮停三)汽(紅黃牌重機)車停車場,1,國聯一路,23.99169,121.6021,1,,,無名,,NW
A00019,新康停車場,1,富國十街,23.98872,121.5965,254,,,國富十街,,S
A00073,好樂停HAPPY PARKING-中山停車場,1,明智街出入口,23.98487,121.60373,1,,,明智街,,SW
A00033,花蓮民生停車場,1,南京街出入口,23.97531,121.60735,1,,,南京街,,SW
A00045,國富二十二街停車場,1,國富二十二街出入口,23.9924,121.5947,1,,,國富二十二街,,SE
A00080,鉄道商圈停車場,2,,,,,,,,,
A00044,停好車停車場,1,國興一街出入口,23.99418,121.6035,1,,,國興一街,,NE
A00036,統冠重慶店停車場,1,統冠超市,23.97324,121.6103,254,0,,重慶路,,SW
A00015,WORLD GYM世界健身俱樂部停車場,2,,,,,,,,,
A00003,丞捷停車場 ,1,國富十四街,23.99161,121.59574,2,,,國富十四街,,SE
A00005,福廣仁愛停車場,1,仁愛街出入口,23.97813,121.60225,1,,,仁愛街,,SE
A00043,中山明智停車場,1,明智街出入口,23.9847,121.6035,1,,,明智街,,SW
A00014,TIMES 三民街,1,三民街,23.97696,121.61147,1,,,三民街,,SE
A00059,花蓮中山路停車場,1,中山路出口,23.99656,121.59409,2,,679093U,中山路,6790930300020U,SE
A00011,新港街停車場,1,新港街出入口,23.97976,121.60614,3,,,新港街,,SE
